This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202002 CRSP database.,,,,,,
The 1-month TBill return is from Ibbotson and Associates Inc.,,,,,,
,,,,,,
Date,Mkt-RF,SMB,HML,RMW,CMA,RF
Mar-06,1.46,3.45,0.6,-0.04,-0.5,0.37
Apr-06,0.73,-0.83,2.61,1.15,-0.25,0.36
May-06,-3.57,-2.99,2.54,0.96,1.34,0.43
Jun-06,-0.35,-0.24,0.87,1.38,-0.11,0.4
Jul-06,-0.78,-3.69,2.94,1.54,0.93,0.4
Aug-06,2.03,0.44,-1.71,-1.74,2.15,0.42
Sep-06,1.84,-1.44,0.04,0.88,0.53,0.41
Oct-06,3.23,1.93,-0.03,-0.22,0.26,0.41
Nov-06,1.71,0.82,0.08,0.09,-0.88,0.42
Dec-06,0.87,-0.79,3.16,-0.8,2.05,0.4
Jan-07,1.4,0.08,-0.11,0.22,0.24,0.44
Feb-07,-1.96,1.4,-0.1,-0.47,-0.74,0.38
Mar-07,0.68,0.07,-0.22,0.25,-0.59,0.43
Apr-07,3.49,-2.02,-1.15,1.02,1.01,0.44
May-07,3.24,0.28,-0.04,1.13,-1.29,0.41
Jun-07,-1.96,0.76,-1.12,0.53,0.07,0.4
Jul-07,-3.73,-2.87,-3.33,0.57,-1.04,0.4
Aug-07,0.92,-0.34,-2.24,-0.91,-0.56,0.42
Sep-07,3.22,-2.41,-1.86,-0.58,-3.17,0.32
Oct-07,1.8,0.03,-2.6,-0.31,-0.1,0.32
Nov-07,-4.83,-2.81,-1.18,1.88,-0.34,0.34
Dec-07,-0.87,0.18,-0.51,0.7,-1.09,0.27
Jan-08,-6.36,-0.52,3.65,1.98,2.2,0.21
Feb-08,-3.09,-0.53,-0.94,0.76,-1.06,0.13
Mar-08,-0.93,0.75,-0.14,1.09,0.47,0.17
Apr-08,4.6,-1.15,-0.95,1.28,-2.54,0.18
May-08,1.86,3.22,-1.38,0.81,0.04,0.18
Jun-08,-8.44,1.15,-2.42,4.3,-0.42,0.17
Jul-08,-0.77,3.66,5.88,-0.98,1.06,0.15
Aug-08,1.53,3.42,1.52,1.85,0.81,0.13
Sep-08,-9.24,0.35,6.33,2.95,1.77,0.15
Oct-08,-17.23,-3.2,-2.89,3.6,1.91,0.08
Nov-08,-7.86,-3.88,-6.02,4.83,2.72,0.03
Dec-08,1.74,3.37,-0.25,-0.08,-1.4,0
Jan-09,-8.12,-2.01,-11.18,0.23,-1.15,0
Feb-09,-10.1,-1.17,-7.27,1.71,-1.12,0.01
Mar-09,8.95,0.67,3.56,-2.33,-2.22,0.02
Apr-09,10.19,6.71,5.53,0.28,0.14,0.01
May-09,5.21,-2.33,-0.23,-0.98,-2.16,0
Jun-09,0.43,2.32,-2.72,-1.06,-0.17,0.01
Jul-09,7.72,2.44,5.28,-0.66,3.2,0.01
Aug-09,3.33,-0.05,7.75,-3.02,3.18,0.01
Sep-09,4.08,2.74,0.93,1.36,0.38,0.01
Oct-09,-2.59,-4.78,-4.18,4.18,-1.66,0
Nov-09,5.56,-2.8,-0.17,0.81,0.13,0
Dec-09,2.75,6.22,0,0.48,-0.07,0.01
Jan-10,-3.36,0.29,0.3,-1.39,0.46,0
Feb-10,3.4,1.46,3.16,-0.33,1.4,0
Mar-10,6.31,1.79,2.11,-0.56,1.7,0.01
Apr-10,2,5.04,2.81,1.1,1.69,0.01
May-10,-7.89,0.06,-2.38,1.37,-0.22,0.01
Jun-10,-5.56,-2.49,-4.5,-0.21,-1.51,0.01
Jul-10,6.93,0.09,-0.26,0.24,2.02,0.01
Aug-10,-4.77,-3.1,-1.95,0.72,-1.69,0.01
Sep-10,9.54,3.72,-3.13,-0.21,0.47,0.01
Oct-10,3.88,0.78,-2.6,1.3,-0.23,0.01
Nov-10,0.6,3.6,-0.9,0.24,1.64,0.01
Dec-10,6.82,0.95,3.82,-3.65,3.22,0.01
Jan-11,1.99,-2.42,0.82,-0.89,0.69,0.01
Feb-11,3.49,1.64,1.1,-1.93,0.95,0.01
Mar-11,0.45,2.67,-1.58,1.64,-0.03,0.01
Apr-11,2.9,-0.51,-2.52,1.09,-0.84,0
May-11,-1.27,-0.69,-2.08,2.02,-1.5,0
Jun-11,-1.75,0.11,-0.32,2.38,-1.45,0
Jul-11,-2.36,-1.34,-1.21,2.43,-1.76,0
Aug-11,-5.99,-3.2,-2.48,3.2,-0.24,0.01
Sep-11,-7.59,-3.78,-1.41,1.85,0.28,0
Oct-11,11.35,3.57,-0.18,-1.87,-0.88,0
Nov-11,-0.28,-0.26,-0.34,1.79,1.53,0
Dec-11,0.74,-0.44,1.77,0.8,2.4,0
Jan-12,5.05,2.16,-1.13,-1.81,-1.4,0
Feb-12,4.42,-1.63,0.08,-0.19,-0.1,0
Mar-12,3.11,-0.45,0.92,-0.33,0.82,0
Apr-12,-0.85,-0.59,-0.48,1.12,0.67,0
May-12,-6.19,-0.09,-0.59,2.28,2.39,0.01
Jun-12,3.89,0.95,0.44,-1.24,0.34,0
Jul-12,0.79,-2.68,-0.27,1.11,0.13,0
Aug-12,2.55,0.44,1.31,-1.26,-0.73,0.01
Sep-12,2.73,0.66,1.53,-1.38,1.59,0.01
Oct-12,-1.76,-0.81,3.79,-1.39,2.28,0.01
Nov-12,0.78,0.36,-0.97,0.68,0.91,0.01
Dec-12,1.18,1.87,3.58,-1.98,0.86,0.01
Jan-13,5.57,0.56,0.95,-1.64,1.47,0
Feb-13,1.29,-0.38,0.03,-0.69,0.48,0
Mar-13,4.03,0.83,-0.3,0.17,1.31,0
Apr-13,1.55,-2.3,0.62,0.07,0.47,0
May-13,2.8,2.06,2.6,-1.66,-0.78,0
Jun-13,-1.2,1.35,-0.17,-0.44,-0.01,0
Jul-13,5.65,1.8,0.56,-1.46,0.56,0
Aug-13,-2.71,-0.01,-2.78,0.62,-2.16,0
Sep-13,3.77,2.67,-1.19,-0.73,-1.32,0
Oct-13,4.18,-1.53,1.14,2.7,0.87,0
Nov-13,3.12,1.33,0.24,0.14,0.05,0
Dec-13,2.81,-0.53,-0.31,-0.52,0.07,0
Jan-14,-3.32,0.57,-2.09,-3.99,-1.4,0
Feb-14,4.65,0.15,-0.4,-0.26,-0.41,0
Mar-14,0.43,-1.17,5.09,2.16,1.9,0
Apr-14,-0.19,-4.15,1.14,3.48,1.07,0
May-14,2.06,-1.89,-0.27,0.1,-1.08,0
Jun-14,2.61,3.1,-0.74,-1.97,-1.91,0
Jul-14,-2.04,-4.25,0.01,0.94,0.47,0
Aug-14,4.24,0.29,-0.59,-0.63,-0.7,0
Sep-14,-1.97,-3.79,-1.23,1.13,-0.51,0
Oct-14,2.52,3.78,-1.7,-0.47,-0.17,0
Nov-14,2.55,-2.31,-3,1.4,0.18,0
Dec-14,-0.06,2.88,2.06,-1.16,0.88,0
Jan-15,-3.11,-0.87,-3.48,1.67,-1.67,0
Feb-15,6.13,0.21,-1.81,-1.07,-1.75,0
Mar-15,-1.12,3.04,-0.46,0.1,-0.51,0
Apr-15,0.59,-3.03,1.85,-0.15,-0.49,0
May-15,1.36,0.77,-1.37,-1.72,-0.74,0
Jun-15,-1.53,2.86,-0.79,0.5,-1.47,0
Jul-15,1.54,-4.55,-4.12,0.04,-2.56,0
Aug-15,-6.04,0.4,2.66,0.76,1.25,0
Sep-15,-3.08,-2.78,0.53,1.81,-0.51,0
Oct-15,7.75,-2.16,-0.07,0.82,0.43,0
Nov-15,0.56,3.35,-0.51,-2.57,-1.1,0
Dec-15,-2.17,-2.99,-2.59,0.31,0.13,0.01
Jan-16,-5.77,-3.42,2.08,2.6,3.02,0.01
Feb-16,-0.07,0.95,-0.5,3.28,2.05,0.02
Mar-16,6.96,1.09,1.16,0.81,-0.02,0.02
Apr-16,0.92,1.17,3.26,-2.88,1.97,0.01
May-16,1.78,-0.71,-1.81,-1.01,-2.55,0.01
Jun-16,-0.05,0.49,-1.47,1.19,1.92,0.02
Jul-16,3.95,2.64,-1.11,1.33,-1.24,0.02
Aug-16,0.5,1.72,3.34,-1.33,-0.39,0.02
Sep-16,0.25,1.74,-1.49,-2.29,-0.08,0.02
Oct-16,-2.02,-4.01,4.16,1.19,0.24,0.02
Nov-16,4.86,6.81,8.29,-0.1,3.7,0.01
Dec-16,1.82,0.41,3.58,0.99,-0.3,0.03
Jan-17,1.94,-1.28,-2.78,-0.01,-0.95,0.04
Feb-17,3.57,-2.13,-1.79,0.78,-1.72,0.04
Mar-17,0.17,0.78,-3.17,0.68,-1,0.03
Apr-17,1.09,0.49,-1.87,2,-1.55,0.05
May-17,1.06,-3.05,-3.78,1.21,-1.88,0.06
Jun-17,0.78,2.48,1.35,-2.01,-0.07,0.06
Jul-17,1.87,-1.59,-0.29,-0.71,-0.15,0.07
Aug-17,0.16,-1.85,-2.24,0.28,-2.42,0.09
Sep-17,2.51,4.84,3.03,-1.18,1.63,0.09
Oct-17,2.25,-1.97,-0.05,1.04,-3.33,0.09
Nov-17,3.12,-0.43,-0.04,3.12,0,0.08
Dec-17,1.06,-1.04,0.14,0.65,1.65,0.09
Jan-18,5.58,-3.15,-1.37,-0.5,-0.89,0.11
Feb-18,-3.65,0.32,-1.19,0.52,-2.25,0.11
Mar-18,-2.35,3.54,-0.12,-0.51,0,0.12
Apr-18,0.29,0.97,0.54,-2.09,1.18,0.14
May-18,2.65,4.72,-3.16,-1.95,-1.42,0.14
Jun-18,0.48,0.86,-2.38,0.71,0.33,0.14
Jul-18,3.19,-1.92,0.43,1.61,0.43,0.16
Aug-18,3.44,0.65,-4.08,-0.28,-2.5,0.16
Sep-18,0.06,-2.52,-1.3,0.59,1.24,0.15
Oct-18,-7.68,-4.51,3.44,0.87,3.45,0.19
Nov-18,1.69,-0.82,0.25,-0.6,0.32,0.18
Dec-18,-9.55,-3.05,-1.47,-0.13,0.16,0.19
Jan-19,8.41,3.09,-0.62,-0.69,-1.36,0.21
Feb-19,3.4,1.78,-2.84,0.24,-1.47,0.18
Mar-19,1.1,-3.54,-4.07,0.93,-1.02,0.19
Apr-19,3.96,-1.13,1.93,1.75,-2.17,0.21
May-19,-6.94,-1.47,-2.39,-0.35,1.78,0.21
Jun-19,6.93,0.37,-1.08,0.94,-0.38,0.18
Jul-19,1.19,-1.91,0.14,-0.08,0.36,0.19
Aug-19,-2.58,-3.3,-4.99,0.37,-0.96,0.16
Sep-19,1.44,0.32,6.71,1.97,3.55,0.18
Oct-19,2.06,0.21,-2.07,0.43,-0.96,0.15
Nov-19,3.87,0.5,-1.86,-1.5,-1.29,0.12
Dec-19,2.77,0.96,1.83,0.21,1.31,0.14
Jan-20,-0.11,-4.4,-6.27,-1.23,-2.34,0.13
Feb-20,-8.13,-0.06,-4,-1.62,-2.53,0.12
