Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,7.713333,7.713333,7.003334,7.226666,0.585733,8760000
1962-02-01,7.300000,7.480000,7.093333,7.160000,0.580329,5737600
1962-03-01,7.186666,7.413333,7.070000,7.103333,0.575814,5344000
1962-04-01,7.100000,7.100000,6.000000,6.053333,0.490698,12851200
1962-05-01,6.053333,6.530000,4.733333,5.233333,0.424227,49307200
1962-06-01,5.213333,5.213333,4.000000,4.523334,0.366731,68451200
1962-07-01,4.523334,5.246666,4.513333,5.160000,0.418348,41052800
1962-08-01,5.146667,5.530000,4.940000,5.283333,0.428348,41353600
1962-09-01,5.283333,5.353333,4.646667,4.713333,0.382211,33204800
1962-10-01,4.713333,4.956666,4.293334,4.613333,0.374101,42958400
1962-11-01,4.613333,5.356667,4.560000,5.313334,0.430866,36654400
1962-12-01,5.260000,5.413333,5.086667,5.200000,0.421764,21891200
1963-01-01,5.200000,5.660000,5.123333,5.650000,0.458262,28531200
1963-02-01,5.650000,5.665000,5.320000,5.330000,0.432308,13190400
1963-03-01,5.330000,5.643333,5.296667,5.613333,0.455396,12147200
1963-04-01,5.613333,6.326667,5.566667,6.183333,0.501639,18203200
1963-05-01,6.183333,6.380000,6.100000,6.363333,0.516242,11387200
1963-06-01,6.363333,6.383333,5.760000,5.816667,0.471995,12854400
1963-07-01,5.816667,5.973333,5.670000,5.793334,0.470101,16763200
1963-08-01,5.793334,6.126667,5.733333,5.930000,0.481191,13878400
1963-09-01,5.938334,6.253334,5.938334,6.026667,0.489147,18100800
1963-10-01,6.026667,6.690000,5.980000,6.586667,0.534599,24403200
1963-11-01,6.586667,6.610000,6.146667,6.470000,0.525129,12488000
1963-12-01,6.506667,6.793334,6.313334,6.760000,0.548808,13035200
1964-01-01,6.800000,7.560000,6.766667,7.226666,0.586694,22300800
1964-02-01,7.226666,7.686666,7.120000,7.586667,0.615921,11291200
1964-03-01,7.586667,7.926667,7.413333,7.923333,0.643402,11723200
1964-04-01,7.933333,8.020000,7.603333,7.603333,0.617416,12776000
